head	tail	context	relation_type
C0108280	C0042172	C0027651	Increase
C0105770	C0042172	C0027651	Increase
C0042172	C0137209	C0027651	Binding
C0105770	C0108280	C0027651	Binding
C0137209	C0108280	C0027651	Binding
C0249880	C0174680	C0035335	Binding
C0080113	C0249880	C0035335	Binding
C0174680	C0080113	C0035335	Binding
C0080113	C0249880	C2239176	Binding
C0080113	C0249880	C0027651	Binding
C0174680	C0249880	C0027651	Binding
C0249880	C0525037	C0025202	Binding
C0249880	C0525037	C0035436	Binding
C0010760	C0033551	C0023264	Regulation
C0027021	C0021753	C0027651	Binding
C1456820	C0027021	C0027651	Increase
C0006560	C0027021	C0027651	Binding
C0021753	C0079633	C0027651	Regulation
C0006560	C0079633	C0027651	Binding
C0006560	C0021753	C0027651	Binding
C0006560	C1456820	C0027651	Decrease
C0164371	C0172537	C0027651	Binding
C0252642	C0879290	C1333990	Decrease
C0879290	C0252642	C0027651	Binding
C0879290	C0252642	C0025202	Binding
C1533698	C0021745	C0027651	Binding
C0526999	C1366487	C0032580	Binding
C1366487	C0526999	C1527249	Binding
C0021745	C0254610	C0027651	Binding
C0123759	C0254610	C0027651	Binding
C0254610	C1456820	C0027651	Binding
C0167627	C0054959	C0003873	Regulation
C0021756	C0021758	C0036421	Binding
C0950248	C3540506	C2239176	Binding
C1419909	C1419908	C1333993	Decrease
C1308226	C1419909	C1333993	Increase
C1308226	C1419908	C0031511	Regulation
C0132555	C1533698	C0022116	Binding
C0164786	C0044602	C0027651	Binding
C0164786	C2936824	C0027651	Binding
C0044602	C2936824	C0027651	Decrease
C0019453	C0304925	C0018553	Binding
C0919534	C1333715	C0699791	Binding
C1333715	C0919534	C1527249	Binding
C1422239	C1309037	C0699791	Binding
C0010287	C0010803	C0678222	Regulation
C1418520	C0069906	C1306459	Increase
C0080055	C0288472	C1140680	Binding
C0080055	C0965644	C0027651	Binding
C0965644	C0288472	C0027651	Binding
C0525037	C0080113	C0699885	Binding
C1527752	C1336643	C0333516	Binding
C0034804	C0014239	C0006142	Binding
C0042071	C0030190	C1140680	Increase
C0030190	C0042071	C0027651	Binding
C0030190	C0042071	C0029925	Binding
C0080055	C0249880	C1140680	Binding
C1698754	C0021760	C0600139	Binding
C1120843	C0752312	C3263719	Regulation
C0044602	C0752312	C3263719	Binding
C0752312	C0021760	C3263719	Binding
C0071216	C0042071	C0027651	Regulation
C4042483	C0219474	C0023467	Decrease
C0027481	C0054015	C0242973	Binding
C0069515	C0078058	C0678222	Regulation
C0069515	C0314684	C0678222	Binding
C1704256	C0040690	C0027651	Regulation
C0172537	C0042071	C0027651	Decrease
C0080055	C0034802	C0004114	Increase
C4055105	C0034802	C0027651	Decrease
C0312402	C0760170	C0600139	Regulation
C0312402	C0760170	C0027651	Binding
C0078058	C0965644	C0027651	Binding
C0525037	C0249880	C0151779	Decrease
C0525037	C0249880	C0220633	Binding
C0808901	C0808900	C0027651	Binding
C0019018	C0021641	C0020615	Binding
C0019018	C0019046	C0035309	Binding
C0314684	C0040688	C2239176	Regulation
C0022984	C0021701	C2239176	Regulation
C1321919	C1456820	C0027651	Binding
C0002199	C0019167	C0019159	Binding
C0019167	C0001899	C0019159	Binding
C0002199	C0001899	C0019159	Binding
C0002199	C0019168	C0019159	Binding
C0019168	C0019167	C2239176	Binding
C0079280	C0242275	C0027651	Regulation
C0242275	C0021760	C0027651	Binding
C0040688	C0242275	C0027651	Binding
C0079280	C0021760	C0027651	Binding
C0079280	C0040688	C0027651	Binding
C0062534	C0021760	C0027651	Binding
C0040690	C0079280	C0027651	Binding
C0079068	C0314684	C0027651	Increase
C0534578	C1417573	C0017601	Decrease
C0037657	C0123707	C0002736	Regulation
C0123707	C0123259	C0002736	Binding
C0019630	C0019629	C0004364	Binding
C0072978	C0021745	C0027651	Binding
C1456820	C0072978	C0027651	Binding
C1308752	C0021745	C0027651	Binding
C0215469	C1308752	C0027651	Binding
C1456820	C1308752	C0027651	Regulation
C0215469	C0021745	C0027651	Binding
C1456820	C0215469	C0027651	Binding
C0021641	C0023607	C0020459	Binding
C0021641	C0023822	C0020459	Binding
C0140279	C4281814	C2745900	Binding
C4281814	C0140279	C0023524	Increase
C0243043	C0018847	C0027651	Binding
C0018847	C0069515	C0027651	Binding
C0080055	C0243043	C0027651	Binding
C0760170	C0138741	C1306459	Binding
C1418752	C0007082	C0027651	Binding
C0010287	C0010803	C0027651	Binding
C0010803	C0007082	C0027651	Regulation
C0010803	C0002210	C0027651	Binding
C0007082	C0010287	C0027651	Binding
C0007082	C0002210	C0027651	Binding
C0138741	C0007082	C0027651	Increase
C0002210	C0138741	C0027651	Decrease
C0040083	C0058126	C1527249	Binding
C0040083	C0057455	C1527249	Binding
C0058126	C0057455	C1527249	Binding
C0919430	C3657722	C0699790	Decrease
C1420435	C1420439	C0027651	Binding
C1420439	C1420434	C0027651	Binding
C1420435	C1420434	C0027651	Decrease
C1332803	C0105770	C0032580	Binding
C0812222	C0080055	C0035436	Binding
C0021641	C0299583	C0004153	Increase
C0017787	C0017801	C0017097	Binding
C0173924	C1417098	C0035372	Binding
C0215469	C0021745	C0175697	Binding
C0025543	C0623362	C0027651	Binding
C0132555	C0003762	C0022661	Increase
C0132555	C0003765	C0022661	Regulation
C0079784	C0079459	C0027651	Binding
C0079459	C0007082	C0027651	Binding
C0007082	C0079784	C0027651	Decrease
C1333715	C0919534	C0600139	Binding
C1610033	C3652465	C0019189	Regulation
C0021747	C1610033	C0019189	Increase
C3652465	C0002199	C0019189	Regulation
C0021747	C0002199	C0019189	Increase
C0037663	C0021665	C0339510	Binding
C0074830	C0037663	C0001430	Regulation
C0074830	C0037663	C0027651	Decrease
C0145779	C0016006	C0042974	Binding
C0145779	C0032143	C0042974	Binding
C2744539	C0145779	C0042974	Binding
C0145779	C0042971	C0042974	Binding
C2744539	C0042971	C0042974	Binding
C0020835	C0020852	C0004153	Binding
C0069906	C0290741	C0027651	Binding
C0085295	C0021760	C0032285	Regulation
C0021760	C0006560	C0032285	Decrease
C0169964	C0037663	C1963154	Binding
C3652465	C0021747	C0027651	Regulation
C0062534	C0021760	C0699791	Regulation
C4042483	C0219474	C0699791	Increase
C1420258	C1420257	C0026847	Binding
C0919430	C3657722	C0339510	Binding
C0920288	C3887684	C0002395	Increase
C3652465	C0021747	C0333516	Decrease
C0077401	C1305957	C0027051	Binding
C1305957	C0077401	C0948089	Binding
C1305957	C0077401	C0742343	Binding
C0040160	C0033371	C0019693	Increase
C0001655	C0016424	C0001430	Binding
C1456820	C0021759	C0027651	Binding
C0079633	C0021759	C0027651	Binding
C0059406	C0014063	C0026769	Binding
C0059406	C0014063	C0026269	Binding
C0079280	C0242275	C3263719	Binding
C0021665	C0021641	C0020456	Binding
C0040160	C2587204	C0238463	Increase
C0162596	C0020852	C0085278	Binding
C0021745	C0079633	C0027651	Binding
C1099914	C0021745	C0027651	Binding
C0021760	C1308752	C0027651	Regulation
C1099914	C0021760	C0027651	Increase
C0021758	C0079633	C0027651	Binding
C0079633	C0085295	C0027651	Regulation
C0085295	C1308752	C0027651	Increase
C0085295	C1099914	C0027651	Binding
C1456820	C0132555	C0175697	Binding
C1456820	C1533698	C0175697	Binding
C1456820	C0132555	C0027651	Binding
C1533698	C0132555	C0175697	Binding
C1533698	C0132555	C0027651	Binding
C0021753	C0128897	C0027651	Regulation
C0128546	C0021753	C0027651	Binding
C0021753	C0079784	C0027651	Decrease
C0021760	C0128546	C0027651	Binding
C0079784	C0021760	C0027651	Binding
C1456820	C0128897	C0027651	Decrease
C1456820	C0128546	C0027651	Binding
C1456820	C0079784	C0027651	Regulation
C0128897	C0128546	C0027651	Binding
C0018062	C1141639	C0027651	Binding
C0011696	C0001271	C0027651	Regulation
C0007082	C0006611	C0027651	Binding
C0011696	C0006611	C0027651	Binding
C0007082	C1414471	C0027651	Binding
C1414471	C0042666	C0027651	Binding
C0011696	C1414471	C0027651	Increase
C0042666	C0007082	C0027651	Regulation
C0011696	C0007082	C0027651	Binding
C0042666	C0011696	C0027651	Binding
C1417490	C1417494	C0007097	Binding
C0068613	C1420562	C0007097	Binding
C0002723	C0021760	C0027651	Binding
C0002723	C0006560	C0027651	Decrease
C0014239	C0663204	C0678222	Decrease
C0034804	C0014239	C0678222	Binding
C1384539	C0080113	C0035335	Binding
C0085201	C1412058	C0039292	Decrease
C1418370	C0072348	C0032580	Binding
C1335273	C0059239	C0750927	Increase
C0059239	C1529719	C0750927	Binding
C0215848	C0021760	C0242184	Decrease
C0019167	C0369334	C0019163	Regulation
C0019168	C0312631	C0019196	Binding
C3652465	C0021747	C0524910	Decrease
C0312631	C0019168	C0019163	Binding
C0369334	C0312631	C0019163	Binding
C0019168	C0369334	C0019163	Increase
C0019046	C0036773	C0017181	Increase
C1456820	C0085295	C0175697	Regulation
C0123759	C1456820	C0175697	Binding
C0123759	C0085295	C0175697	Decrease
C0041368	C0021755	C0333516	Regulation
C0378796	C0376854	C0085413	Increase
C0378516	C0376854	C0085413	Increase
C0376854	C1138427	C0085413	Increase
C0022709	C0075233	C2316810	Increase
C0248813	C0015683	C0022658	Increase
C0110610	C0040690	C1969372	Regulation
C1824180	C0020835	C0022658	Increase
C1824180	C0020835	C1704321	Increase
C1824180	C0020835	C0017665	Increase
C1824180	C0020835	C0017658	Increase
C1824180	C0020835	C0024143	Increase
C1418398	C0079284	C0022116	Decrease
C0016055	C0020835	C0017658	Decrease
C0080055	C0127306	C0027651	Binding
C0812260	C0389252	C0027651	Binding
C0389252	C0080055	C0027651	Regulation
C0288472	C0080055	C0699790	Binding
C0034786	C1436327	C0600139	Increase
C0021760	C0021753	C0175697	Regulation
C0132555	C0021753	C0175697	Binding
C0021760	C0132555	C0175697	Binding
C0016026	C0919521	C0027651	Decrease
C0033621	C0040048	C0032580	Decrease
C0034787	C0022709	C0018802	Binding
C0033706	C0015506	C0598608	Increase
C0288472	C0080055	C0242706	Decrease
C0249197	C0080055	C0027651	Binding
C0249197	C0243045	C0027651	Binding
C0249197	C0288472	C0242706	Regulation
C0249197	C0288472	C0027651	Binding
C1413291	C0078058	C3263719	Decrease
C1415344	C0078058	C3263719	Decrease
C0021753	C0669372	C0027651	Regulation
C0041368	C0079904	C0027651	Binding
C1456820	C0041368	C0027651	Binding
C1456820	C0079904	C0027651	Binding
C0126732	C0079904	C0027651	Binding
C0126732	C1456820	C0027651	Binding
C1456820	C0021641	C0027651	Binding
C0169665	C0243045	C0035335	Binding
C0015683	C0021745	C0699790	Regulation
C0167627	C0054959	C0398689	Binding
C0006558	C0021641	C3250443	Binding
C0056889	C1418965	C0238339	Binding
C1416613	C0021666	C0004903	Binding
C1416613	C0906558	C0004903	Binding
C0042071	C1620101	C0027651	Binding
C1620101	C0030190	C0027651	Binding
C0030190	C0042071	C0678222	Decrease
C0010934	C0034802	C0027651	Regulation
C0022959	C0034802	C0027651	Regulation
C0249880	C0111429	C0027651	Decrease
C0525037	C0080113	C0027651	Increase
C0080113	C0111429	C0027651	Binding
C1420017	C0002721	C0549463	Regulation
C0021756	C1456820	C0027651	Regulation
C0021745	C0024320	C0027651	Binding
C0024320	C0021756	C0027651	Binding
C1456820	C0600251	C0027651	Regulation
C1702299	C1456820	C0027651	Regulation
C1504688	C1456820	C0027651	Binding
C1456820	C0245109	C0027651	Binding
C0600251	C1702299	C0027651	Binding
C0021753	C0600251	C0027651	Regulation
C0245109	C0600251	C0027651	Binding
C0021753	C1702299	C0027651	Binding
C0245109	C1702299	C0027651	Binding
C0021753	C1504688	C0027651	Binding
C0021753	C0245109	C0027651	Binding
C1504688	C0245109	C0027651	Binding
C0016006	C0001924	C0007222	Regulation
C0019046	C0014822	C1963154	Regulation
C0021745	C1456820	C0333516	Binding
C0369334	C0019168	C0019159	Binding
C0037663	C0021665	C0151686	Binding
C0021665	C0123707	C0151686	Decrease
C0042666	C1880904	C0027651	Regulation
C0082645	C0917785	C0017097	Regulation
C0034790	C0021027	C0024314	Decrease
C0034790	C0305052	C0024314	Decrease
C0041368	C0385242	C0333516	Binding
C0077503	C0041368	C0027651	Binding
C0123707	C0123257	C0006012	Increase
C1528558	C0598034	C0006142	Binding
C0033634	C0010531	C0027651	Increase
C0172537	C0165519	C0027651	Binding
C0080055	C0291573	C0027651	Binding
C0034804	C0074825	C0027651	Increase
C0034804	C1417030	C0027651	Increase
C0111429	C0034804	C0027651	Binding
C0117718	C1421505	C0026764	Binding
C1456820	C0062534	C0027651	Binding
C0062534	C0078058	C0027651	Decrease
C0078058	C1456820	C0027651	Binding
C0214743	C0021759	C1306759	Binding
C0021641	C0037663	C0041408	Binding
C0055538	C0023822	C0004153	Regulation
C0004057	C0007804	C0023522	Binding
C0525037	C0080055	C0027651	Binding
C0041368	C0079633	C0027651	Binding
C1413558	C1334339	C0023418	Binding
C0600251	C1456820	C0333516	Binding
C0210995	C0290741	C0027651	Regulation
C0108768	C0003323	C0027651	Binding
C0021641	C1456820	C0333516	Decrease
C0021665	C0125606	C0023418	Decrease
C0015683	C0253023	C2239176	Binding
C0174680	C0080113	C1306459	Regulation
